      0 <= x <      30; y_0      =      61.0 +   0.6333333333333333x; interpolation
      30 <= x <      60; y_1      =      98.0 +   -0.6x; interpolation
      60 <= x <      90; y_2      =      20.0 +   0.7x; interpolation
      90 <= x <      120; y_3      =      128.0 +   -0.5x; interpolation
      120 <= x <      150; y_4      =      12.0 +   0.4666666666666667x; interpolation
      150 <= x <      180; y_5      =      112.0 +   -0.2x; interpolation
      180 <= x <      210; y_6      =      34.0 +   0.23333333333333334x; interpolation
      210 <= x <      240; y_7      =      146.0 +   -0.3x; interpolation
      240 <= x <      270; y_8      =      2.0 +   0.3x; interpolation
      270 <= x <      300; y_9      =      137.0 +   -0.2x; interpolation
      300 <= x <      330; y_10      =      197.0 +   -0.4x; interpolation
      330 <= x <      360; y_11      =      -78.0 +   0.43333333333333335x; interpolation
      360 <= x <      390; y_12      =      222.0 +   -0.4x; interpolation
      390 <= x <      420; y_13      =      79.0 +   -0.03333333333333333x; interpolation
      420 <= x <      450; y_14      =      -215.0 +   0.6666666666666666x; interpolation
      450 <= x <      480; y_15      =      85.0 +   0.0x; interpolation
      480 <= x <      510; y_16      =      389.0 +   -0.6333333333333333x; interpolation
      510 <= x <      540; y_17      =      151.0 +   -0.16666666666666666x; interpolation
      540 <= x <      570; y_18      =      -353.0 +   0.7666666666666667x; interpolation
      570 <= x <      600; y_19      =      445.0 +   -0.6333333333333333x; interpolation
      600 <= x <      630; y_20      =      45.0 +   0.03333333333333333x; interpolation
      630 <= x <      660; y_21      =      87.0 +   -0.03333333333333333x; interpolation
      660 <= x <      690; y_22      =      -375.0 +   0.6666666666666666x; interpolation
      690 <= x <      720; y_23      =      85.0 +   0.0x; interpolation
      720 <= x <      750; y_24      =      541.0 +   -0.6333333333333333x; interpolation
      750 <= x <      780; y_25      =      -434.0 +   0.6666666666666666x; interpolation
      780 <= x <      810; y_26      =      86.0 +   0.0x; interpolation
      810 <= x <      840; y_27      =      167.0 +   -0.1x; interpolation
      840 <= x <      870; y_28      =      -1.0 +   0.1x; interpolation
      870 <= x <      900; y_29      =      86.0 +   0.0x; interpolation
      900 <= x <      930; y_30      =      56.0 +   0.03333333333333333x; interpolation
      930 <= x <      960; y_31      =      118.0 +   -0.03333333333333333x; interpolation
      960 <= x <      990; y_32      =      246.0 +   -0.16666666666666666x; interpolation
      990 <= x <      1020; y_33      =      -51.0 +   0.13333333333333333x; interpolation
      1020 <= x <      1050; y_34      =      731.0 +   -0.6333333333333333x; interpolation
      1050 <= x <      1080; y_35      =      101.0 +   -0.03333333333333333x; interpolation
      1080 <= x <      1110; y_36      =      -619.0 +   0.6333333333333333x; interpolation
      1110 <= x <      1140; y_37      =      84.0 +   0.0x; interpolation
      1140 <= x <      1170; y_38      =      160.0 +   -0.06666666666666667x; interpolation
      1170 <= x <      1200; y_39      =      121.0 +   -0.03333333333333333x; interpolation
      1200 <= x <      1230; y_40      =      1.0 +   0.06666666666666667x; interpolation
      1230 <= x <      1260; y_41      =      42.0 +   0.03333333333333333x; interpolation
      1260 <= x <      1290; y_42      =      -42.0 +   0.1x; interpolation
      1290 <= x <      1320; y_43      =      302.0 +   -0.16666666666666666x; interpolation
      1320 <= x <      1350; y_44      =      1005.9999999999999 +   -0.7x; interpolation
      1350 <= x <      1380; y_45      =      -29.0 +   0.06666666666666667x; interpolation
      1380 <= x <      1410; y_46      =      -121.0 +   0.13333333333333333x; interpolation
      1410 <= x <      1440; y_47      =      -685.0 +   0.5333333333333333x; interpolation
      1440 <= x <      1470; y_48      =      -13.0 +   0.06666666666666667x; interpolation
      1470 <= x <      1500; y_49      =      -13.0 +   0.06666666666666667x; interpolation
      1500 <= x <      1530; y_50      =      437.0 +   -0.23333333333333334x; interpolation
      1530 <= x <      1560; y_51      =      845.0 +   -0.5x; interpolation
      1560 <= x <      1590; y_52      =      -871.0 +   0.6x; interpolation
      1590 <= x <      1620; y_53      =      -23.0 +   0.06666666666666667x; interpolation
      1620 <= x <      1650; y_54      =      85.0 +   0.0x; interpolation
      1650 <= x <      1680; y_55      =      1185.0 +   -0.6666666666666666x; interpolation
      1680 <= x <      1710; y_56      =      -999.0 +   0.6333333333333333x; interpolation
      1710 <= x <      1740; y_57      =      1167.0 +   -0.6333333333333333x; interpolation
      1740 <= x <      1770; y_58      =      -109.0 +   0.1x; interpolation
      1770 <= x <      1800; y_59      =      245.0 +   -0.1x; interpolation
      1800 <= x <      1830; y_60      =      -1015.0 +   0.6x; interpolation
      1830 <= x <      1860; y_61      =      1181.0 +   -0.6x; interpolation
      1860 <= x <      1890; y_62      =      3.0 +   0.03333333333333333x; interpolation
      1890 <= x <      1920; y_63      =      -1194.0 +   0.6666666666666666x; interpolation
      1920 <= x <      1950; y_64      =      1238.0 +   -0.6x; interpolation
      1950 <= x <      1980; y_65      =      328.0 +   -0.13333333333333333x; interpolation
      1980 <= x <      2010; y_66      =      -134.0 +   0.1x; interpolation
      2010 <= x <      2040; y_67      =      134.0 +   -0.03333333333333333x; interpolation
      2040 <= x <      2070; y_68      =      66.0 +   0.0x; interpolation
      2070 <= x <      2100; y_69      =      -1314.0 +   0.6666666666666666x; interpolation
      2100 <= x <      2130; y_70      =      646.0 +   -0.26666666666666666x; interpolation
      2130 <= x <      2160; y_71      =      3628.0 +   -1.6666666666666667x; interpolation
      2160 <= x <      2190; y_72      =      172.0 +   -0.06666666666666667x; interpolation
      2190 <= x <      2220; y_73      =      -4062.0 +   1.8666666666666667x; interpolation
      2220 <= x <      2250; y_74      =      1192.0 +   -0.5x; interpolation
